Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00     5598     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.02     0.00     4044     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.02     0.00     3880     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.02     0.00     3880     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.02     0.00     3880     0.00     0.00  std::unary_function<char, bool>::unary_function()
  0.00      0.02     0.00     3880     0.00     0.00  std::_Maybe_unary_or_binary_function<bool, char>::_Maybe_unary_or_binary_function()
  0.00      0.02     0.00     3880     0.00     0.00  std::function<bool (char)>::~function()
  0.00      0.02     0.00     3471     0.00     0.00  char&& std::forward<char>(std::remove_reference<char>::type&)
  0.00      0.02     0.00     3444     0.00     0.00  std::__detail::_State<std::__cxx11::regex_traits<char> >::~_State()
  0.00      0.02     0.00     3420     0.00     0.00  std::vector<std::__detail::_State<std::__cxx11::regex_traits<char> >, std::allocator<std::__detail::_State<std::__cxx11::regex_traits<char> > > >::size() const
  0.00      0.02     0.00     2950     0.00     0.00  std::__detail::_State<std::__cxx11::regex_traits<char> >* std::__addressof<std::__detail::_State<std::__cxx11::regex_traits<char> > >(std::__detail::_State<std::__cxx11::regex_traits<char> >&)
  0.00      0.02     0.00     2945     0.00     0.00  std::vector<std::__detail::_State<std::__cxx11::regex_traits<char> >, std::allocator<std::__detail::_State<std::__cxx11::regex_traits<char> > > >::operator[](unsigned long) const
  0.00      0.02     0.00     2936     0.00     0.00  std::__detail::_State<std::__cxx11::regex_traits<char> >&& std::forward<std::__detail::_State<std::__cxx11::regex_traits<char> > >(std::remove_reference<std::__detail::_State<std::__cxx11::regex_traits<char> > >::type&)
  0.00      0.02     0.00     2888     0.00     0.00  std::__detail::_Executor<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::regex_traits<char>, true>::_State_info<std::integral_constant<bool, true>, std::vector<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > > >::_M_visited(long) const
  0.00      0.02     0.00     2872     0.00     0.00  std::vector<std::__detail::_State<std::__cxx11::regex_traits<char> >, std::allocator<std::__detail::_State<std::__cxx11::regex_traits<char> > > >::operator[](unsigned long)
  0.00      0.02     0.00     2504     0.00     0.00  std::_Function_base::_M_empty() const
